EXEC_TIME|TRANS_NO|WEIGHT|PERCENT|
---------|--------|------|-------|
      170|      82|  0.01|   0.01|
      175|    5974|  0.60|   0.61|
      180|   80575|  8.06|   8.66|
      185|  195156| 19.52|  28.18|
      190|  224288| 22.43|  50.61|
      195|  169744| 16.97|  67.58|
      200|   94290|  9.43|  77.01|
      205|   39741|  3.97|  80.99|
      210|   16786|  1.68|  82.66|
      215|    8739|  0.87|  83.54|
      220|    5754|  0.58|  84.11|
      225|    4669|  0.47|  84.58|
      230|    5302|  0.53|  85.11|
      235|    7020|  0.70|  85.81|
      240|   10345|  1.03|  86.85|
      245|   15100|  1.51|  88.36|
      250|   22288|  2.23|  90.59|
      255|   28361|  2.84|  93.42|
      260|   26108|  2.61|  96.03|
      265|   18253|  1.83|  97.86|
      270|   10311|  1.03|  98.89|
      275|    4778|  0.48|  99.37|
      280|    1842|  0.18|  99.55|
      285|     611|  0.06|  99.61|
      290|     208|  0.02|  99.63|
      295|      76|  0.01|  99.64|
      300|      43|  0.00|  99.64|
      305|      34|  0.00|  99.65|
      310|      30|  0.00|  99.65|
      315|      22|  0.00|  99.65|
      320|      16|  0.00|  99.65|
      325|      12|  0.00|  99.66|
      330|       2|  0.00|  99.66|
      335|       4|  0.00|  99.66|
      340|       3|  0.00|  99.66|
      345|       1|  0.00|  99.66|
      360|       3|  0.00|  99.66|
      380|       2|  0.00|  99.66|
      385|       7|  0.00|  99.66|
      390|     117|  0.01|  99.67|
      395|     261|  0.03|  99.70|
      400|     190|  0.02|  99.71|
      405|      49|  0.00|  99.72|
      410|      48|  0.00|  99.72|
      415|      63|  0.01|  99.73|
      420|      94|  0.01|  99.74|
      425|      81|  0.01|  99.75|
      430|      61|  0.01|  99.75|
      435|      67|  0.01|  99.76|
      440|      59|  0.01|  99.77|
      445|      92|  0.01|  99.78|
      450|     145|  0.01|  99.79|
      455|     256|  0.03|  99.82|
      460|     291|  0.03|  99.85|
      465|     250|  0.03|  99.87|
      470|     183|  0.02|  99.89|
      475|     133|  0.01|  99.90|
      480|      69|  0.01|  99.91|
      485|      49|  0.00|  99.91|
      490|      47|  0.00|  99.92|
      495|      25|  0.00|  99.92|
      500|      48|  0.00|  99.93|
      505|      69|  0.01|  99.93|
      510|      86|  0.01|  99.94|
      515|     102|  0.01|  99.95|
      520|     105|  0.01|  99.96|
      525|     101|  0.01|  99.97|
      530|      84|  0.01|  99.98|
      535|      64|  0.01|  99.99|
      540|      44|  0.00|  99.99|
      545|      30|  0.00|  99.99|
      550|      12|  0.00| 100.00|
      555|       3|  0.00| 100.00|
      560|       1|  0.00| 100.00|
      675|       1|  0.00| 100.00|
      870|       1|  0.00| 100.00|
     1005|       2|  0.00| 100.00|
     1010|       3|  0.00| 100.00|
     1015|       5|  0.00| 100.00|
     1070|       2|  0.00| 100.00|
     1075|       1|  0.00| 100.00|
     1090|       2|  0.00| 100.00|
     1095|       2|  0.00| 100.00|
     1100|       1|  0.00| 100.00|
     1185|       1|  0.00| 100.00|
     1250|       1|  0.00| 100.00|
     1260|       1|  0.00| 100.00|
     1290|       1|  0.00| 100.00|
     1295|       1|  0.00| 100.00|
     1300|       1|  0.00| 100.00|
     1390|       1|  0.00| 100.00|
     1460|       1|  0.00| 100.00|
     1475|       1|  0.00| 100.00|
     1555|       1|  0.00| 100.00|
     1610|       1|  0.00| 100.00|
     1690|       1|  0.00| 100.00|
     1850|       1|  0.00| 100.00|
     4460|       1|  0.00| 100.00|
     5590|       1|  0.00| 100.00|
     6250|       1|  0.00| 100.00|
     6535|       1|  0.00| 100.00|
     7070|       1|  0.00| 100.00|
     7485|       1|  0.00| 100.00|
     7835|       1|  0.00| 100.00|
    16465|       1|  0.00| 100.00|
